iter	RMSE
0	6.249673544
1	5.428606869
2	4.741269952
3	4.11271203
4	3.574401544
5	3.112200883
6	2.719358538
7	2.36203626
8	2.055954701
9	1.792694056
10	1.567814002
11	1.366115388
12	1.190277124
13	1.043983125
14	0.9240231046
15	0.810999851
16	0.7151256134
17	0.6320933281
18	0.5596259816
19	0.4981458746
20	0.4449203483
21	0.3996990434
22	0.3606175186
23	0.3269710922
24	0.298062371
25	0.273583061
26	0.2539957401
27	0.2366435913
28	0.2217549105
29	0.2092171099
30	0.1964074337
31	0.1858221315
32	0.1777086756
33	0.1698271451
34	0.160849134
35	0.1556245442
36	0.1503055521
37	0.1459248442
38	0.1420865897
39	0.1370776356
40	0.1333906319
41	0.131082878
42	0.1279052694
43	0.1227649321
44	0.1194931388
45	0.1172054408
46	0.1151015511
47	0.1128618471
48	0.1105703598
49	0.1086572214
50	0.1063550827
51	0.1046359132
52	0.1037837764
53	0.1008629692
54	0.096785686
55	0.09563311038
56	0.09435123259
57	0.09158872253
58	0.08855490969
59	0.08706449553
60	0.08546372158
61	0.08410590208
62	0.0829082541
63	0.07973357478
64	0.07899735226
65	0.07671977597
66	0.075586862
67	0.0748831677
68	0.07422200964
69	0.07142432437
70	0.06988587171
71	0.06770276984
72	0.06589627723
73	0.06498330827
74	0.06388769722
75	0.0623626816
76	0.06121204852
77	0.06042790292
78	0.05986295751
79	0.05881947494
80	0.05733095395
81	0.05670611462
82	0.05618660778
83	0.05474319322
84	0.05433579983
85	0.052972026
86	0.05270242402
87	0.05164348357
88	0.05121174763
89	0.05021673923
90	0.04978706243
91	0.04908274455
92	0.0483056243
93	0.04809467925
94	0.04750709222
95	0.04693711283
96	0.04558755084
97	0.04431920716
98	0.04356977574
99	0.04318750083
100	0.04299464678
101	0.04216693354
102	0.04200874754
103	0.04098902563
104	0.04054434955
105	0.03995337163
106	0.03958803986
107	0.03908577272
108	0.03870212388
109	0.03785460112
110	0.03765827109
111	0.03716366818
112	0.03687201895
113	0.03647277153
114	0.03626470514
115	0.03584160436
116	0.03513710602
117	0.03500896972
118	0.0347538738
119	0.03400998691
120	0.03371794176
121	0.03310888993
122	0.03264355404
123	0.03228631075
124	0.03186682981
125	0.03173050003
126	0.03125861211
127	0.03098080649
128	0.03069375851
129	0.03019369264
130	0.02969733287
131	0.02957955072
132	0.02934523404
133	0.0290516649
134	0.02855806001
135	0.02822378587
136	0.02800945705
137	0.02771462831
138	0.02734052043
139	0.02724999223
140	0.02704277174
141	0.02677488841
142	0.02648661506
143	0.02636994636
144	0.02592972471
145	0.02572485163
146	0.0255603186
147	0.02535792946
148	0.02512471106
149	0.02472138318
150	0.02463297222
151	0.02437533951
152	0.02415419986
153	0.0239638762
154	0.02388320941
155	0.02367436876
156	0.02344941195
157	0.02320625196
158	0.02301485614
159	0.02278147446
160	0.0225373734
161	0.02233938156
162	0.02208290423
163	0.02201304401
164	0.02196637717
165	0.02167136017
166	0.02153491555
167	0.02121528075
168	0.02102814564
169	0.02084646764
170	0.02070370919
171	0.02052199098
172	0.02038604908
173	0.02021075805
174	0.02015607306
175	0.01992700185
176	0.01974451314
177	0.01963002441
178	0.01950709403
179	0.01938203938
180	0.01922458508
181	0.0191302591
182	0.01900539706
183	0.01892708101
184	0.01889580092
185	0.01872285669
186	0.01850742718
187	0.01841161808
188	0.01827555601
189	0.01813599947
190	0.01789996092
191	0.0178564234
192	0.01778028488
193	0.01765699033
194	0.01749674404
195	0.01736319346
196	0.01725616917
197	0.01699151224
198	0.01684142227
199	0.0167008062
200	0.01646010756
201	0.01627843138
202	0.01615440673
203	0.01603180778
204	0.01597114658
205	0.01593486082
206	0.01583339108
207	0.01574402923
208	0.01561463078
209	0.01549722192
210	0.01529703388
211	0.01524728041
212	0.01512292928
213	0.01494027755
214	0.01483104307
215	0.0147973528
216	0.014633591
217	0.01460377188
218	0.01445107996
219	0.01431002793
220	0.01419682832
221	0.01415112711
222	0.01411964714
223	0.01402072592
224	0.01394300218
225	0.01386529634
226	0.01372671873
227	0.01361170678
228	0.0134791727
229	0.0133949583
230	0.01336954888
231	0.01329175967
232	0.01319682004
233	0.0131312362
234	0.01311962224
235	0.01309008809
236	0.0129969535
237	0.01297561472
238	0.01296651944
239	0.01282611561
240	0.01276280192
241	0.01268701099
242	0.01261698354
243	0.0124908624
244	0.01236120476
245	0.01224447179
246	0.01216116604
247	0.0121416829
248	0.01206274851
249	0.01205467696
250	0.01196100427
251	0.01188033362
252	0.01187432343
253	0.01177286094
254	0.0117391587
255	0.01163675246
256	0.0115773924
257	0.01155590173
258	0.01149821701
259	0.01147249476
260	0.0113689736
261	0.01134174121
262	0.01122407236
263	0.01114440273
264	0.01106748602
265	0.01104611608
266	0.01097751387
267	0.01089404113
268	0.01082480892
269	0.01077315614
270	0.01072199607
271	0.01070400121
272	0.01063232197
273	0.01056176263
274	0.01048401606
275	0.01046686696
276	0.01040608126
277	0.01033444355
278	0.01029847222
279	0.01018955745
280	0.01014582123
281	0.01008233186
282	0.01002207599
283	0.009956739334
284	0.009868454044
285	0.009853451144
286	0.009839387019
287	0.009786869528
288	0.009749836293
289	0.009705254137
290	0.009693937866
291	0.009614959918
292	0.009583795474
293	0.009536235074
294	0.009472507246
295	0.009412931203
296	0.009342718112
297	0.009240975284
298	0.009201458515
299	0.009163514864
300	0.009123970322
301	0.009107408184
302	0.009069899026
303	0.009021027059
304	0.008971184385
305	0.008936197702
306	0.008869481977
307	0.008852912033
308	0.008833662176
309	0.008761270217
310	0.008718958729
311	0.008705451167
312	0.008645191151
313	0.008630982313
314	0.008593844956
315	0.008540866934
316	0.00853026102
317	0.008498325321
318	0.00849160642
319	0.008449366853
320	0.008392201441
321	0.008384376479
322	0.008343998275
323	0.008334941991
324	0.008322637759
325	0.008287097292
326	0.008212481246
327	0.008206092564
328	0.008152485808
329	0.008090976165
330	0.008045188922
331	0.007999943115
332	0.007969657932
333	0.007919439442
334	0.007884035548
335	0.007812655179
336	0.007780846106
337	0.007730003549
338	0.007713103881
339	0.007680170279
340	0.007654851337
341	0.007623990639
342	0.007575127609
343	0.007537270326
344	0.007523403099
345	0.00748102552
346	0.007432089652
347	0.007406832701
348	0.007357714754
349	0.007346355872
350	0.007315865663
351	0.007290574913
352	0.007264756312
353	0.007233080635
354	0.007225326624
355	0.007172561928
356	0.007144659646
357	0.007138678527
358	0.007084934477
359	0.007057698029
360	0.007031383538
361	0.007023925229
362	0.006999887679
363	0.00695359386
364	0.006922754408
365	0.006881584699
366	0.006819668866
367	0.00677492875
368	0.006751568798
369	0.006722931149
370	0.006702371863
371	0.006672841568
372	0.006634612419
373	0.006576633317
374	0.006557710952
375	0.006527761012
376	0.006512344349
377	0.00649573083
378	0.006468364233
379	0.006461109582
380	0.006438152075
381	0.006411335049
382	0.006360593325
383	0.00634214929
384	0.006320628478
385	0.006305729161
386	0.006257187381
387	0.006250618952
388	0.006236124014
389	0.006213181363
390	0.006207497774
391	0.006187919704
392	0.006175572387
393	0.006130935235
394	0.00612364523
395	0.006091934874
396	0.006076740563
397	0.006069879128
398	0.006034043558
399	0.006026504451
